"uri","id","prefLabel","top","depth","broader","definition","scopeNote"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_400FRGGDP3-8","16","Crepuscular","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_5MGWBV5LLJ-S","Individuals are active during twilight, including dawn, dusk, bright moonlit night and dull days (Moretti et al (2016))","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_SXNGLS2V5F-K","52","Diet","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_BSTV0CMT46-D","The list of resources a species feeds on","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RTNXM4R933-S","44","Diggingburrowing_strategies","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_8V4Q2GBSND-6","All organs and physiological properties, which allow animal to dig or burrow the soil","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_FW443W302R-1","14","Diurnal","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_5MGWBV5LLJ-S","Individuals are active only during the day (Moretti et al (2016))","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_55XSH02PRM-9","128","Earthworm_gastrointestinal_tract","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_QJ29MPQ0PB-B","Characteristics of the earthwworm gut",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_W8VD79HBRC-B","116","Egg_dimension","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_NG9MPNSCK6-5","The dimension of the egg",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GK8ML14J9C-P","47","Foraging","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_BSTV0CMT46-D","A particular act of searching for and exploiting food resources (Wikipedia (http://en.wikipedia.org/wiki/Foraging))","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_03L3BRRC0F-H","98","Head_dimension","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_NG9MPNSCK6-5","The head dimensions",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_29H3P9LX4K-6","45","Jumping_strategy","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_8V4Q2GBSND-6","Ability to jump.","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4STNXQ3CSR-G","176","Locomotion","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RT61KBNTN7-N",,
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_MM2TMFRMKP-Q","136","Mandible_height","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_QJ29MPQ0PB-B","Distance from mesal condyl to tip of the mandible (Hedde, M., et al. (2015))","mm"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_SRVF011652-V","137","Mandible_length","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_QJ29MPQ0PB-B","Length of mesal edge (Hedde, M., et al. (2015))","mm"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_FR63JFGFTN-4","135","Mandible_width","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_QJ29MPQ0PB-B","Width of the mandible basis (Hedde, M., et al. (2015))","mm"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_JCCQMR2LPQ-5","138","Mouthpart_type","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_QJ29MPQ0PB-B","Any appendage adapted to a specific way of ingesting which shares similar characteristics and forms a smaller division of a larger set (wikipedia)","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_K9CBB37VH0-X","216","Multivoltine","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CNDGRF38H1-V","Organisms having more than two broods or generations per year (wikipedia)","attribute"
